ts,symbol,exchange,kind,ltp,bid,ask,spread,volume,oi,open,high,low,prev_close
2026-08-05T15:31:48.577,INDIAVIX,NSE_INDEX,spot,11.96,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:31:49.121,NIFTY25AUG26FUT,NFO,future,24647.0,24645.7,24647.0,1.3,2902055,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:31:49.716,SENSEX27AUG26FUT,BFO,future,78845.0,78834.8,78887.85,53.05,23880,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:31:50.221,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:31:50.770,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:31:51.322,INDIAVIX,NSE_INDEX,spot,11.96,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:31:51.872,NIFTY25AUG26FUT,NFO,future,24647.0,24645.9,24650.0,4.1,2902250,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:31:52.427,SENSEX27AUG26FUT,BFO,future,78845.0,78830.25,78885.85,55.6,23880,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:31:52.975,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:31:53.523,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:31:54.205,INDIAVIX,NSE_INDEX,spot,11.96,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:31:54.627,NIFTY25AUG26FUT,NFO,future,24647.0,24646.0,24650.0,4.0,2902250,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:31:55.169,SENSEX27AUG26FUT,BFO,future,78845.0,78824.05,78888.05,64.0,23880,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:31:55.718,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:31:56.273,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:31:56.825,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:31:57.384,NIFTY25AUG26FUT,NFO,future,24645.0,24646.0,24650.0,4.0,2902250,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:31:57.935,SENSEX27AUG26FUT,BFO,future,78845.0,78820.25,78884.65,64.4,23880,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:31:58.496,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:31:59.022,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:31:59.648,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:00.122,NIFTY25AUG26FUT,NFO,future,24645.9,24645.9,24647.0,1.1,2902900,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:00.762,SENSEX27AUG26FUT,BFO,future,78884.55,78832.15,78884.1,51.95,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:01.222,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:01.774,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:02.329,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:02.945,NIFTY25AUG26FUT,NFO,future,24647.0,24645.9,24649.9,4.0,2903030,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:03.432,SENSEX27AUG26FUT,BFO,future,78884.55,78833.1,78885.2,52.1,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:03.969,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:04.530,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:05.097,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:05.627,NIFTY25AUG26FUT,NFO,future,24647.0,24645.9,24648.8,2.9,2903030,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:06.179,SENSEX27AUG26FUT,BFO,future,78884.55,78835.75,78886.45,50.7,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:06.730,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:07.277,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:07.860,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:08.370,NIFTY25AUG26FUT,NFO,future,24647.0,24645.9,24647.0,1.1,2903030,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:08.919,SENSEX27AUG26FUT,BFO,future,78884.55,78834.8,78886.35,51.55,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:09.470,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:10.064,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:10.572,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:11.120,NIFTY25AUG26FUT,NFO,future,24645.9,24645.9,24647.0,1.1,2903030,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:11.671,SENSEX27AUG26FUT,BFO,future,78884.55,78830.05,78882.55,52.5,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:12.219,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:12.814,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:13.363,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:13.880,NIFTY25AUG26FUT,NFO,future,24645.9,24645.0,24645.9,0.9,2903160,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:14.465,SENSEX27AUG26FUT,BFO,future,78884.55,78834.4,78886.15,51.75,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:14.974,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:15.524,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:16.124,INDIAVIX,NSE_INDEX,spot,11.99,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:16.626,NIFTY25AUG26FUT,NFO,future,24645.0,24645.0,24645.9,0.9,2903550,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:17.182,SENSEX27AUG26FUT,BFO,future,78884.55,78833.8,78884.5,50.7,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:17.798,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:18.282,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:18.820,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:19.383,NIFTY25AUG26FUT,NFO,future,24645.1,24645.1,24645.9,0.8,2903810,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:19.931,SENSEX27AUG26FUT,BFO,future,78884.55,78824.8,78884.35,59.55,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:20.476,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:21.041,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:21.602,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:22.127,NIFTY25AUG26FUT,NFO,future,24645.0,24645.0,24645.9,0.9,2904070,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:22.672,SENSEX27AUG26FUT,BFO,future,78884.55,78829.5,78881.6,52.1,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:23.227,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
2026-08-05T15:32:23.771,SENSEX,BSE_INDEX,spot,78581.0,,,,0,0,79055.38,79055.38,78285.74,78428.95
2026-08-05T15:32:24.320,INDIAVIX,NSE_INDEX,spot,11.98,,,,0,0,12.19,12.67,10.81,12.19
2026-08-05T15:32:24.870,NIFTY25AUG26FUT,NFO,future,24645.0,24645.0,24647.0,2.0,2904135,12367485,24715.0,24740.0,24565.0,24555.6
2026-08-05T15:32:25.424,SENSEX27AUG26FUT,BFO,future,78884.55,78817.9,78879.25,61.35,23900,36060,78932.0,79211.3,78612.9,78652.85
2026-08-05T15:32:25.972,NIFTY,NSE_INDEX,spot,24624.65,,,,0,0,24669.2,24677.6,24497.95,24614.9
